,iters,delta,resid
0,1,0.0,12.818610191887023
1,3,6.510475880695817,5.131234937712757
2,5,3.5960578359550324,4.410426278239864
3,7,48.888888621823625,17.693949652619658
4,9,33.73961757590519,3.4324716765139933
5,11,1.825217411013348,2.2086069245014253
6,13,1.3964572308336018,1.5333535492691828
7,15,1.4450913746680882,1.1642389022232476
8,17,1.5235869421787598,0.2590346403012007
9,19,0.3637010552161193,0.09016744643505901
10,21,0.0404106443567546,0.054685369310896355
11,23,0.027698239144159364,0.037817382698788315
12,25,0.04724267380643185,0.01010005010848035
13,27,0.01294470965397692,0.003029124564796215
14,29,0.0032293091750175058,0.0016648171503286986
15,31,0.000727885394237518,0.0007941895773116676
16,33,0.0009175739117917198,0.0002823854896866458
17,35,0.0003411692142448335,5.701433882291561e-05
18,37,7.843617070889439e-05,2.8493855853805618e-05
19,39,1.260971313445876e-05,1.4057475632432927e-05
20,41,1.803655474385319e-05,2.0512684120451633e-05
